n_gram,pop_raw,rock_raw,country_raw,alternative_raw,punk_raw,metal_raw,rap_raw,soul_raw,jazz_raw,reggae_raw,electronic_raw,other_raw,counts_completed
"Aminadd9,Emaj7",1,0,0,0,0,0,0,0,0,0,0,1,True
"Emaj7sus4,E",8,4,1,0,0,0,0,0,0,0,0,4,True
"Aminadd9,Fsmin",0,0,0,1,0,0,0,0,0,0,0,1,True
"Aminadd9,E7",5,5,0,0,0,0,0,0,1,0,0,4,True
"Cssus4,C7",4,6,0,0,0,0,0,1,0,0,0,3,True
"Fsaug,B",64,50,4,2,3,2,3,3,2,2,0,62,True
"Dmaj7,F",368,203,11,21,13,5,19,34,11,3,1,253,True
"Emin,Gsno3d",9,15,1,3,3,1,0,0,0,0,0,6,True
"Emaj7,Gmaj7",104,69,8,10,4,0,7,11,7,1,0,86,True
"Cmaj7,Gs7",7,5,1,0,0,0,0,1,1,0,0,12,True
"A7,Cadd9",39,31,2,1,2,0,0,1,0,0,0,39,True
"Fsmin,Ddim",25,16,1,0,2,2,3,2,3,0,0,31,True
"Ddim,Emin",45,27,4,1,0,1,2,3,1,1,0,72,True
"Fsno3d,Cmin",11,9,0,2,1,7,0,0,0,0,0,10,True
"Csno3d,Emin9",1,1,0,0,0,0,0,0,1,0,0,0,True
"Bmin9,Bmin11",9,1,0,0,0,0,0,0,0,0,0,5,True
"Bmin11,Emin7",23,8,0,0,1,0,1,0,0,0,0,16,True
"Bmin11,Cmin",3,3,0,0,0,0,0,0,0,0,0,1,True
"Db7sus4,Bbmin",17,11,1,1,0,0,0,1,1,0,0,15,True
"Bbmin,Cno3d",95,99,3,8,9,8,1,1,2,1,1,37,True
"Emin,Emin11",32,21,5,2,0,1,0,1,1,0,0,18,True
"Emin11,Emin",44,27,3,1,1,1,0,1,1,0,0,23,True
"Gadd9,Gno3d",16,15,1,1,0,0,0,0,0,0,0,15,True
"Bmin,Fadd9",10,5,0,0,0,0,0,0,0,0,0,7,True
"Fadd9,Dadd13",4,1,0,0,0,0,0,0,0,0,0,8,True
"Dadd13,Fadd9",9,2,0,0,0,0,1,0,1,0,0,1,True
"Fadd9,D",138,108,29,5,14,2,5,2,2,1,0,126,True
"Dmin,Gdim7",59,36,1,2,0,1,0,8,4,0,0,46,True
"Bbdim,Amin",65,39,3,0,2,3,2,3,5,1,0,86,True
"E7,Bbdim",23,13,0,0,2,0,0,1,3,0,0,28,True
"Eadd13,Eaug",22,13,0,1,0,1,0,3,1,0,0,19,True
"Abmaj7,Bbadd9",30,18,2,0,1,0,1,0,1,0,0,27,True
"Cadd9,Bbmaj7",25,16,1,0,0,0,0,1,1,0,0,24,True
"Abadd9,Gmaj7",0,1,0,0,0,0,0,0,0,0,0,1,True
"G7,Fmin9",21,7,0,1,0,0,2,1,1,0,0,13,True
"Bbadd9,Fmin9",5,3,0,0,0,0,0,0,0,0,0,4,True
"Cno3d,Aadd9",1,0,0,0,0,0,0,0,0,0,0,2,True
"Badd9,Emaj7",78,31,4,3,2,1,0,2,0,1,1,57,True
"G7,Dno3d",25,49,4,0,3,0,0,0,1,0,0,18,True
"Dmin,Dminadd11",24,8,0,1,1,0,0,1,0,0,0,19,True
"Dmin9,Dmin9",15,11,1,1,0,0,0,1,2,0,0,12,True
"Cadd9,Dmin9",5,12,1,0,1,1,1,0,1,0,0,16,True
"Dmin9,Dminadd9",4,1,0,0,0,0,0,1,0,0,0,2,True
"Dminadd9,Dminadd9",3,5,1,1,1,0,0,0,0,0,0,4,True
"Dminadd9,Asus4",5,1,0,1,0,0,0,0,0,0,0,2,True
"Cadd9,Aminadd11",1,2,0,0,0,0,0,0,0,0,0,4,True
"Aminadd11,Dminadd9",0,1,0,0,0,0,0,0,0,0,0,1,True
"Cadd9,Dminadd9",4,4,0,0,0,0,0,0,0,0,0,4,True
"Dminadd9,Cadd9",9,4,0,0,0,0,0,0,0,0,0,6,True
"Cadd9,G7",24,14,4,2,0,1,0,0,1,0,0,27,True
"Ab7,B7sus4",4,4,0,0,0,0,0,0,0,0,0,5,True
"B7,Bb7sus4",23,12,1,0,0,0,0,1,3,0,0,25,True
"Bb7sus4,Bb13b",1,0,0,0,0,0,0,0,0,0,0,0,True
"Bb13b,Ebmajs9",1,0,0,0,0,0,0,0,0,0,0,0,True
"Ebmajs9,Ab7sus4",2,1,0,0,0,0,0,0,0,0,0,1,True
"B7,Ebmajs9",1,2,0,0,0,0,0,0,0,0,0,4,True
"Ebmajs9,Gb",2,6,0,0,0,1,0,4,1,0,0,1,True
"Bb7,Emin",106,53,8,2,6,1,1,3,8,1,0,110,True
"Dsaug,D",21,15,3,0,2,0,0,2,0,0,0,15,True
"Gsus4,Fsadd13",9,3,0,0,0,2,1,0,0,0,0,1,True
"Ab7,Amin",58,55,3,3,2,0,4,4,3,0,0,74,True
"Fsmin11,Fmaj7",6,1,0,0,0,0,0,1,0,0,0,2,True
"D,Fsmin11",19,12,0,0,0,0,1,2,0,0,0,14,True
"Bb,Dbno3d",145,189,11,12,29,6,0,3,2,1,0,76,True
"Gsdim,Asus4",13,12,0,2,0,0,0,0,1,0,1,14,True
"Bbmaj7,Dmaj9",5,4,0,0,0,0,0,2,0,0,0,4,True
"F,Dminadd9",16,14,2,2,1,0,0,0,0,0,0,20,True
"Dminadd9,Dmin7",14,8,1,0,1,0,0,0,0,0,0,12,True
"Dno3d,D7sus2",5,8,0,0,0,0,0,0,0,0,0,9,True
"F,Eb9",29,21,2,0,2,1,1,1,2,0,0,25,True
"Eb9,G",15,13,1,0,1,2,0,0,1,1,0,18,True
"Dmin,C9",70,41,3,0,4,4,2,2,2,2,0,62,True
"C9,Ddim",3,1,0,0,0,0,0,0,0,0,0,4,True
"Bminadd11,Aadd9",2,1,0,1,0,0,0,0,0,0,0,3,True
"Fsmin,Bminadd11",0,2,0,0,0,0,0,0,0,0,0,3,True
"Db9,Abmin7",13,4,0,1,0,0,1,1,3,0,0,9,True
"Gb7,Gb13b",6,5,0,1,0,0,0,0,2,0,0,9,True
"Gb13b,Abmin7",0,0,0,1,0,0,0,0,1,0,0,0,True
"Gb13b,G13b",0,0,0,1,0,0,0,0,0,0,0,0,True
"Gmin,C11s",0,0,0,0,0,0,0,0,0,0,0,1,True
"C11s,Gmin11",0,0,0,0,0,0,0,0,0,0,0,1,True
"Fsdim,Fmaj7",15,11,0,0,0,0,0,3,2,0,0,17,True
"Gmin,Emaj7",20,13,0,1,0,0,1,0,1,0,0,12,True
"Emin9,Gadd11",0,0,0,0,0,0,0,0,0,0,0,2,True
"Gadd11,Emin9",1,1,0,0,0,0,0,0,0,0,0,1,True
"Gadd11,Emin",42,13,3,1,1,0,0,0,0,0,0,44,True
"Bbmin11,Aaugmaj7",0,0,0,1,0,0,0,0,1,0,0,1,True
"Aaugmaj7,Abmaj7",5,0,0,0,0,0,0,0,1,0,0,3,True
"Abmaj7,Db9",14,6,0,0,0,1,1,5,5,0,0,9,True
"Db9,Eb",34,25,1,2,1,3,1,3,6,0,0,37,True
"Abmin,Cminmaj7",3,1,0,0,0,0,0,0,0,0,0,1,True
"G13,C11",1,6,0,0,0,0,0,0,0,0,0,0,True
"Ebno3d,Dbmin7",12,15,1,1,1,1,0,0,1,0,0,7,True
"Asdim7,A7",46,30,2,1,0,0,3,5,5,0,0,50,True
"Caug,Emin",13,6,1,0,0,0,0,1,1,0,0,9,True
"B7,Fsdim7",54,31,5,0,0,1,4,3,3,0,0,51,True
"Fsmin,Badd9",57,52,3,2,3,2,1,1,1,0,0,44,True
"Cmaj7,A9",48,26,1,1,0,1,3,5,2,0,2,27,True
"A9,Fs",74,48,2,0,0,1,2,3,2,3,0,66,True
"A,Cdim7",62,34,2,2,2,1,1,4,5,0,1,63,True
"Cdim7,B9",3,4,0,0,0,0,0,0,0,0,0,5,True
"Amin,Gssus4",17,8,1,0,1,0,0,1,1,0,0,11,True
"Bb,Bsus4",54,45,3,1,1,1,1,2,0,2,0,37,True
"Bsus4,C7",8,3,1,0,0,0,1,0,1,0,0,8,True
"C7sus4,Bbadd13",100,57,4,4,4,4,1,6,4,1,0,68,True
"Gmin11,Dmin7",20,14,0,0,0,1,1,2,0,2,0,22,True
"Dmin7,C13",26,17,1,0,0,0,1,3,4,1,1,27,True
"C13,Bbsus2",1,4,0,0,0,0,0,0,0,0,0,4,True
"Asus4,Bmin9",14,6,1,0,1,0,0,0,0,0,0,9,True
"Bmin9,Dsus2",11,4,0,0,2,0,0,0,0,0,0,7,True
"Gsus2,E7sus2",4,2,0,0,0,0,0,0,0,0,0,0,True
"Gsus2,Esus2",56,42,3,4,5,1,1,1,0,0,0,43,True
"A7,Gno3d",20,32,0,1,3,2,0,0,2,0,0,12,True
"Emin,Ddim7",10,8,2,0,0,0,1,4,0,0,0,9,True
"Ddim7,E7",23,11,1,1,0,0,1,1,2,0,0,18,True
"Ddim7,Amin",70,42,2,1,1,0,3,10,4,0,0,63,True
"G13,F",39,35,1,1,1,0,1,6,3,1,1,33,True
"Amaj7,Cdim",19,9,0,0,0,0,1,4,3,1,0,15,True
"Cdim,Esus4",2,0,0,0,1,0,0,0,0,0,0,2,True
"C7,Gmaj7",50,24,0,1,2,0,2,13,3,0,0,40,True
"A7sus4,Fmaj7",18,15,0,1,0,0,0,2,0,0,0,14,True
"Cadd9,Eb",68,42,4,5,5,0,1,0,3,0,0,38,True
"Cmin7,Dsus2",9,6,1,0,0,1,0,1,1,0,0,10,True
"Dsus2,Gmin7",30,20,1,1,0,0,1,0,1,0,0,23,True
"Abdim7,Gmin",33,19,2,0,3,0,0,3,2,0,0,25,True
"Gdim,Gmin7",21,11,6,1,0,0,0,8,13,0,0,28,True
"Gmin9,Abmin",2,0,0,0,1,0,0,1,1,0,0,0,True
"G13,E",19,17,1,1,0,0,0,3,2,0,0,16,True
"Eno3d,Emaj7",32,21,3,2,5,1,0,0,0,0,0,33,True
"A11,G",57,57,2,2,5,0,1,0,2,0,0,45,True
"Fsdim,Cdim",10,5,1,0,1,0,1,0,0,0,0,10,True
"Baug,E",92,76,4,1,2,1,4,6,3,0,0,97,True
"Eminadd13,Cadd9",6,4,0,1,0,0,0,0,0,0,0,7,True
"Dno3d,Cadd9",23,22,1,1,1,0,0,0,0,0,0,11,True
"Emin9,Fs",51,19,1,2,0,1,2,6,3,0,0,21,True
"Cs7sus4,Cmaj7sus4",0,0,0,0,0,0,0,0,0,0,0,1,True
"Cmaj7sus4,G",2,1,0,0,0,0,0,0,0,0,0,2,True
"G,Cs7sus4",10,4,1,0,0,0,1,0,0,0,0,12,True
"Cmaj7sus4,Cs7sus4",0,0,0,0,0,0,0,0,0,0,0,1,True
"Aminadd13,Asminadd13",7,13,0,0,1,0,1,0,3,0,0,9,True
"Asminadd13,Aminadd13",14,15,1,0,1,0,1,4,2,0,0,19,True
"Bmin7,E7b9",44,15,0,0,3,0,2,8,6,0,1,37,True
"F7,D7sus4",13,14,0,0,0,0,0,1,1,0,0,22,True
"Fsadd9,Fsadd9",73,41,9,1,2,1,2,3,1,1,0,65,True
"B7,Emaj9",37,21,1,2,1,0,2,4,6,0,0,32,True
"Eb9,Ebmaj9",1,3,0,0,0,0,0,0,0,0,0,3,True
"Ebmaj9,G",18,19,0,1,0,0,0,1,3,1,0,26,True
"G,Eb9",15,13,1,0,0,1,0,2,1,0,0,9,True
"Cadd13,Eb9",4,9,1,0,0,0,1,1,6,0,0,11,True
"Badd13,B7sus4",19,14,0,2,0,0,0,5,1,0,0,30,True
"Amaj7,Emin11",3,2,0,0,0,0,0,1,0,0,0,2,True
"Emin11,Amin9",6,4,0,1,1,0,0,1,1,0,0,8,True
"D7sus4,Fs",5,3,0,0,1,0,0,0,0,0,0,6,True
"D7sus4,Emaj7",4,1,0,0,0,0,0,0,0,0,0,1,True
"C9,A7sus4",4,3,0,0,0,0,0,0,1,0,0,6,True
"C9,Amin9",7,8,0,1,0,0,2,0,0,0,0,5,True
"Ebdim7,Eb7",20,21,3,1,1,1,1,3,5,0,0,45,True
"Csmin,Csadd9",40,29,3,1,0,1,1,0,1,0,0,25,True
"Eno3d,C13",1,1,0,0,0,0,0,0,0,0,0,0,True
"C13,Eno3d",1,1,0,0,0,0,0,0,0,0,0,0,True
"Csdim,Eno3d",0,2,0,0,0,0,0,0,0,0,0,0,True
"C13,Bmin",4,7,0,0,0,0,0,1,0,0,0,11,True
"Eno3d,Cmaj7",20,23,0,1,1,1,1,0,0,0,0,14,True
"Csdim,Aminadd13",3,1,0,0,0,0,0,0,2,0,0,2,True
"Fs9,Fsmin9",11,18,0,0,0,0,1,4,2,0,1,11,True
"Bdim7,Bmin7",32,23,5,1,2,0,1,4,4,2,0,37,True
"B7sus2,A7sus4",0,1,0,0,0,0,0,1,0,0,0,0,True
"A7sus4,E7sus4",6,3,0,0,0,0,1,1,0,0,0,6,True
"E7sus4,A7sus4",13,3,1,0,0,0,0,3,1,0,0,7,True
"G7,F9",30,30,5,1,0,0,1,6,5,0,1,37,True
"Adim,E7",27,14,2,0,1,1,1,6,5,0,0,60,True
"E7,Adim",19,11,1,1,2,0,1,3,4,0,0,27,True
"Adim,B7",25,9,2,1,1,1,1,3,10,0,0,36,True
"Fno3d,G7",28,36,1,1,4,1,0,0,0,0,0,24,True
"D7,Adim",23,11,4,1,0,0,1,4,8,0,0,29,True
"Abmaj13,Gmaj13",8,16,1,0,0,0,0,3,3,1,0,7,True
"E7sus4,Abmaj13",0,1,0,0,0,0,0,0,0,0,0,1,True
"Edim,Gdim",36,27,1,0,3,1,1,6,6,0,0,37,True
"Gdim,Abmaj13",0,0,0,0,0,0,0,0,0,0,0,2,True
"Ebmaj9,Ebmin",7,5,0,2,0,0,0,1,0,0,0,5,True
"Dmin,Gbmaj7",20,9,1,4,0,0,0,1,0,0,0,11,True
"Ds9,Dsaug",5,2,2,0,0,0,0,1,1,0,0,3,True
"Bbmin,Bbmaj11",0,0,0,0,0,0,0,1,0,0,0,0,True
"Bbmaj11,Bbminmaj7",0,0,0,0,0,0,0,1,0,0,0,0,True
"Bbminmaj7,Cmin",1,5,0,1,0,0,0,1,0,0,0,0,True
"Bsus4,Bbmin",27,13,0,1,1,0,2,1,0,0,0,9,True
"Ano3d,A7",55,64,2,1,6,0,1,1,0,0,0,54,True
"G,Dmaj11",1,1,0,0,0,0,0,0,0,0,0,3,True
"Dmaj11,C",2,0,1,0,0,0,0,0,0,0,0,3,True
"Dmaj11,G",2,0,0,0,0,0,0,0,0,0,0,2,True
"Aaug,G",12,10,1,0,1,1,0,2,0,0,0,10,True
"D,F7sus2",39,32,2,0,1,0,1,2,0,1,0,32,True
"D7sus2,A7sus4",3,2,0,0,0,0,0,0,0,0,0,8,True
"Cadd9,D7sus2",12,9,0,0,0,0,1,0,1,0,0,7,True
"Fmaj7sus2,Emin",15,14,0,0,0,0,2,1,0,0,1,13,True
"Dsus2,A7sus2",18,13,2,1,1,0,0,0,0,0,0,18,True
"Fmin,Bb7b9",0,0,0,0,0,0,0,1,0,0,0,1,True
"Bb7b9,B",1,1,0,0,0,0,0,0,0,0,0,1,True
"Gmaj7,D7sus2",15,8,1,2,0,0,0,1,5,0,0,15,True
"Fsdim,Dmin7",30,18,2,1,0,0,0,6,5,0,0,25,True
"B7,D9",30,15,0,0,1,0,0,4,4,0,0,13,True
"Amin7,Cdim",35,21,4,2,0,0,1,7,14,0,0,51,True
"Gdim,B7",28,26,0,0,0,0,0,7,17,0,1,45,True
"Cdim,Gadd13",24,18,2,1,0,0,0,7,16,0,1,36,True
"Eb,Ebmaj911s",23,21,1,0,1,1,0,1,0,0,0,15,True
"Ebmaj911s,Gmin",7,9,0,0,1,0,0,1,0,0,0,6,True
"Dsdim7,Csmaj9",9,4,1,0,0,0,0,2,1,0,0,5,True
"Gs7sus4,Gs9",28,17,1,1,0,0,0,0,2,0,0,23,True
"Dmaj9,E7",14,8,1,0,0,0,0,1,1,0,0,8,True
"D7sus2,Dno3d",6,10,1,0,0,0,1,1,1,0,0,3,True
"Bbadd13,Dno3d",20,19,1,1,1,1,1,0,0,0,0,14,True
"Dno3d,Daug",2,6,0,0,0,1,0,0,0,0,0,1,True
"Daug,Dno3d",1,3,0,0,0,1,0,0,0,0,0,0,True
"Badd13,Cadd9",1,1,0,0,0,0,0,0,0,0,0,0,True
"Daug,Dsus2",6,3,0,0,0,0,0,0,0,0,0,1,True
"Ebmaj7,Gdim",9,8,0,1,0,0,0,1,2,0,0,9,True
"Bb7,Emaj7",31,17,1,1,2,0,2,3,5,0,0,22,True
"Emaj7,Bb9",0,2,0,0,0,0,0,0,0,0,1,5,True
"Bb9,Ebmaj7",11,11,0,0,0,0,1,2,5,0,1,21,True
"C9,Edim",0,2,1,0,0,0,0,2,0,0,0,6,True
"Cmaj7,Esus4",95,65,4,6,3,4,3,2,1,0,1,69,True
"Amaj9,Dsmin7",8,7,0,0,0,0,1,1,1,0,0,4,True
"G13,Csmin9",1,1,0,0,0,0,0,0,0,0,0,2,True
"Fs13,Bmin7",11,6,0,0,0,0,0,0,3,0,0,6,True
"Bbdim,Abdim",9,7,0,0,1,1,0,0,4,0,0,7,True
"Ebdim,Gdim",3,4,1,0,0,0,1,0,0,0,0,5,True
"Csus2,E",203,115,11,10,6,5,5,1,0,2,2,124,True
"Eno3d,Emaj911s",1,1,0,0,0,1,0,0,0,0,0,0,True
"Emaj911s,Eno3d",1,3,0,0,0,1,0,0,0,0,0,0,True
"E7sus4,Ano3d",11,8,2,1,0,0,1,0,0,0,0,10,True
"Ano3d,Bmin11",3,0,0,0,0,0,0,0,0,0,0,2,True
"Ano3d,Emin7",41,44,1,3,3,2,1,3,0,1,0,21,True
"C7b9,Fmaj7",17,9,1,0,0,0,1,2,1,0,0,21,True
"Gmin7,Csdim7",23,13,1,0,0,0,1,0,1,0,0,17,True
"D,Cdim7",35,17,1,0,1,0,1,7,0,0,1,34,True
"Amin,C9",77,41,4,2,0,1,2,1,2,3,0,68,True
"C9,D9",24,46,2,0,0,1,2,7,5,3,0,50,True
"D,F13",11,9,1,0,0,0,1,2,1,1,0,14,True
"F13,Cadd9",12,3,1,0,0,0,0,0,0,0,1,9,True
"Cadd9,F13",9,3,1,0,0,0,0,0,0,0,0,5,True
"F13,G",37,30,0,0,1,0,3,2,2,0,0,44,True
"Bsus4,Fmin",11,7,0,0,0,0,0,0,0,0,0,12,True
"Bmin,A7sus4",34,29,2,2,1,0,0,3,1,0,0,33,True
"G7,A7sus4",22,10,0,0,0,0,0,3,0,1,0,33,True
"Fno3d,A7",12,11,1,0,1,1,0,0,0,0,0,2,True
"F7,Gmaj7",48,21,2,3,0,0,2,8,6,0,0,41,True
"Bbadd9,Absus4",5,4,0,0,0,1,0,0,0,0,0,1,True
"Dadd11,Dsus4",16,14,0,0,1,0,0,0,0,0,0,15,True
"Dsus4,Dadd11",25,16,3,0,2,0,1,0,1,0,0,21,True
"F,D11",14,10,1,0,1,2,1,0,0,0,0,13,True
"Cadd9,Bb7",5,3,0,0,0,0,1,0,0,0,0,4,True
"Eno3d,Bsus4",112,99,7,3,9,4,0,2,1,0,1,78,True
"Eminadd13,A",130,85,4,5,6,6,2,8,4,2,0,108,True
"Fminadd13,Bb9",2,0,2,0,0,0,0,0,1,0,0,4,True
"Fsminadd13,Bb9",1,0,1,0,0,0,0,1,0,0,0,2,True
"Bb9,Bmin",1,2,2,0,1,1,0,0,1,0,0,4,True
"Gadd11,Emin7",16,6,0,0,1,0,0,0,0,0,1,12,True
"E,Aminmaj7",10,4,0,1,0,0,0,1,0,0,0,6,True
"Aminmaj7,E",18,3,0,2,1,1,0,1,0,0,1,12,True
"Cs7,Aminmaj7",1,0,0,0,0,0,0,0,0,0,0,1,True
"A7,Aminmaj7",1,0,2,0,0,0,0,0,0,0,0,4,True
"Aminmaj7,Fsmin7",2,1,0,0,0,0,0,0,0,0,0,4,True
"Fsmin9,E9",12,8,1,2,0,0,0,0,1,0,0,7,True
"Fsminmaj7,Fsmin9",0,2,0,0,0,0,0,0,0,0,0,1,True
"Fsmin7,Fs13",7,6,0,0,0,0,0,1,0,0,0,6,True
"C,Dmaj11",2,0,1,0,0,0,0,0,0,0,0,1,True
"Emin,Dmaj11",1,0,1,0,0,0,0,0,0,0,0,2,True
"Dmaj11,Emin",0,0,0,0,0,0,0,0,0,0,0,2,True
"E7sus4,Gmaj7",18,9,1,0,1,0,0,1,0,0,0,14,True
"Cadd9,A7sus2",6,4,0,0,0,0,0,0,0,0,0,0,True
"A7sus2,A7sus4",18,9,0,1,1,0,0,0,0,0,0,13,True
"Gsus4,Fmaj9",20,14,3,1,0,0,1,0,1,1,0,24,True
"Fmaj9,Bdim7",2,3,1,0,0,0,0,1,0,0,0,4,True
"Gmin7,Cmaj9",6,5,0,0,0,0,1,0,2,0,0,3,True
"Dmin7,E7b9",15,12,1,2,0,1,1,1,5,0,0,17,True
"E7b9,Fmaj9",2,1,0,0,0,0,1,0,0,0,0,2,True
"A7,Bmaj9",2,1,0,1,0,0,1,0,0,0,0,2,True
"B7,Bmaj9",3,2,0,1,1,1,0,0,0,0,0,2,True
"B7,F11",0,1,0,0,0,0,0,0,0,0,0,0,True
"F11,G",11,9,0,0,0,0,0,1,1,1,0,10,True
"Abdim,Abaug",4,0,0,1,0,0,0,1,2,0,0,0,True
"F7,Fs9",15,13,2,0,1,0,0,1,7,0,0,9,True
"F9,Ebmaj7",26,15,0,2,0,0,2,3,2,0,0,18,True
"F13,Bb7",18,11,1,0,0,1,0,2,4,0,0,22,True
"Ddim,Eadd9",3,0,0,0,0,0,0,0,0,0,0,0,True
"E9,Bbmaj7",3,0,0,0,0,0,0,0,0,0,0,2,True
"Edim7,Aaugmaj7",5,4,0,1,1,0,0,2,1,0,0,9,True
"Aaugmaj7,Dmin9",5,5,0,1,0,0,1,1,1,0,0,10,True
"G13,Gmin7",12,14,1,0,0,0,0,2,3,0,0,14,True
"Dsus4,Dmaj7sus2",8,1,0,0,0,0,0,0,0,0,1,4,True
"C13,Amin7",43,20,2,0,3,0,1,5,3,0,0,23,True
"Ebmaj9,C13",2,0,0,0,0,0,0,1,0,0,0,1,True
"D,Eb13",7,6,0,0,0,0,0,1,0,0,0,6,True
"Eb13,Fsus4",15,4,2,1,0,0,0,0,0,0,1,13,True
"D,Cmin9",12,9,2,0,0,0,1,0,0,1,0,16,True
"Eb13,F7",6,8,0,0,1,0,1,1,0,0,0,5,True
"Abdim,Eno3d",1,5,0,0,0,1,0,0,0,0,0,2,True
"Abdim,Ano3d",5,4,0,1,0,0,0,0,0,0,0,4,True
"A7sus4,Bmin",65,47,2,2,2,1,2,6,1,0,0,53,True
"Adim,Dmin7",17,10,1,1,0,0,1,4,8,0,0,26,True
"E,Bdim",87,53,6,2,4,0,7,6,9,0,0,115,True
"Esus2,D7",9,11,0,0,0,0,0,0,1,0,0,9,True
"Bsus4,F7",4,2,0,0,0,0,0,0,0,0,0,4,True
"Fsmin,Gmaj9",22,11,1,1,0,0,1,0,0,0,0,13,True
"Esus4,Gmaj9",7,8,0,0,0,0,0,0,0,0,0,7,True
"Bsus2,Fsmin9",9,5,0,2,0,0,0,0,0,0,0,4,True
"Fsmin9,E13",1,2,0,2,0,0,0,1,1,0,0,4,True
"Asus2,Fs11",8,1,2,0,0,2,0,0,0,0,0,2,True
"Fs11,E13",0,1,0,0,0,0,0,0,0,0,0,3,True
"Ano3d,A7sus4",7,11,0,0,0,0,0,0,0,0,0,9,True
"C,Gsmin7",85,63,4,1,4,3,3,7,3,1,0,79,True
"Cmaj7,C7sus4",6,5,0,1,0,0,0,2,0,0,0,7,True
"Dsdim7,Dmin7",63,24,0,2,1,0,1,6,3,0,0,37,True
"Gbadd9,Bb",89,56,7,3,5,2,3,1,1,1,0,80,True
"Fsus4,F7b9",1,1,0,2,0,0,0,0,1,0,0,1,True
"G13,Bminadd9",1,1,0,0,0,0,0,0,0,0,0,1,True
"C9,G13",1,3,0,0,0,0,0,1,0,0,0,5,True
"Cs,Amaj9",14,8,1,0,0,1,0,3,0,0,0,8,True
"Amaj9,Emaj7",24,16,0,1,0,0,1,2,1,0,0,28,True
"Dsmaj7,Dsmaj11",2,1,0,0,0,0,0,0,0,0,0,1,True
"Dsmaj11,Dsmaj7",2,0,0,0,0,0,0,0,0,0,0,3,True
"Dsmaj7,Daug",5,5,0,0,0,0,0,3,0,0,0,6,True
"Daug,Csus4",1,1,0,0,0,0,0,0,0,0,0,0,True
"Daug,Dmin",21,6,1,0,0,0,0,3,1,0,0,13,True
"Gminmaj7,Gmin",50,21,3,0,1,1,2,0,1,1,0,24,True
"Gminmaj7,F",11,6,1,1,2,2,0,1,0,1,0,9,True
"Cmaj7,Fdim7",8,7,0,0,1,0,0,0,0,1,0,6,True
"Fdim7,Fmaj7",15,9,0,1,1,0,0,1,1,0,0,16,True
"Gadd13,Gminadd9",0,1,0,0,0,0,0,0,0,0,0,2,True
"Asus4,Eb",54,33,6,0,2,2,2,2,1,0,0,36,True
"B7,Ebmaj7",22,9,0,0,1,0,2,3,3,0,0,16,True
"G7,Gs7sus4",4,4,0,0,0,0,0,0,0,0,0,3,True
"Fmaj9,C7",8,3,0,0,0,0,0,2,0,0,0,12,True
"F7,Cadd9",8,6,1,0,0,0,0,0,0,0,0,18,True
"Bbmin9,Ab7",7,8,0,2,0,0,0,2,0,0,0,14,True
"D,Asdim7",48,23,1,2,2,0,3,2,0,1,0,54,True
"Db9,Cmin",11,8,1,1,0,0,1,1,3,0,0,7,True
"Bmin,D13",15,11,0,0,1,0,0,1,1,0,2,12,True
"D9,Dmaj7",21,8,0,0,1,0,1,2,5,2,0,16,True
"Gminadd13,Dmaj7",52,22,2,1,0,0,0,7,12,0,0,43,True
"Cmaj9,Gmin",3,3,0,0,0,0,0,1,1,1,0,5,True
"C7sus4,Cmajs9",1,2,0,0,0,0,0,0,0,0,0,0,True
"Cmajs9,Fmaj7",2,2,0,0,0,0,0,2,0,0,0,4,True
"Fmaj7,Dbaugmaj7",1,1,0,0,1,0,0,0,0,0,0,0,True
"Dbaugmaj7,Fmaj7",2,0,0,0,0,0,0,1,0,0,0,0,True
"F7,Fmajs9",6,16,1,0,0,0,0,2,2,0,0,8,True
"Fmajs9,Bb7",9,9,2,1,0,0,0,2,0,0,0,4,True
"Bb7,Gbdim",9,6,0,0,0,0,0,5,11,0,0,19,True
"Gmin,Bb9",9,5,1,0,0,0,1,1,0,0,0,4,True
"Cmaj7,Eb7sus4",2,1,0,0,0,0,0,0,0,0,0,0,True
"Abmin7,Dbaugmaj7",8,7,0,1,0,0,0,6,7,1,0,8,True
"Bdim,Dmin7",24,9,1,0,1,1,1,4,3,0,0,15,True
"Gadd11,F9",7,7,0,1,0,0,0,0,0,0,0,10,True
"F9,Gadd11",11,7,0,1,0,0,1,0,0,0,0,12,True
"G9,Bmin",118,76,14,2,4,1,5,3,1,9,0,117,True
"G7,Dminadd13",29,16,2,0,2,0,1,3,4,1,0,28,True
"Dminadd13,Esus4",32,19,3,1,0,1,1,2,1,0,0,28,True
"Csadd13,Csno3d",81,81,2,7,11,1,0,0,4,0,1,53,True
"Csno3d,Csadd11",10,9,1,0,0,2,1,0,1,1,0,6,True
"Csadd11,G",3,6,0,0,0,0,0,0,0,0,0,3,True
"Gb9,F9",13,28,1,0,0,0,0,9,8,0,0,16,True
"F9,Gb9",7,8,0,0,0,0,0,8,2,0,0,9,True
"Gbmaj7,Gb9",4,0,0,0,0,0,0,2,1,0,0,2,True
"Gdim,Bmaj7",15,5,3,2,0,1,1,3,6,0,1,11,True
"Eb9,Abmin7",7,4,0,0,0,0,0,1,0,0,1,4,True
"Eb9,Bmaj7",3,0,0,0,0,0,0,0,0,0,0,2,True
"Dsmaj7,Dno3d",8,12,0,1,1,1,1,0,0,0,0,8,True
